1.1,20.9,1,15.58,0.19,0.57,1.13,0.38,0.31,0.19,7.47,4.27,0,0.94,0.19,0.13,2.89,0.82,0,0,0,0.94,1.51,15.83,2.39,9.11,0.13,0
1.09,7.25,53.68,14.98,1.79,2.14,2,1.62,0.83,0.41,5.52,0.69,0.21,2.14,0.59,0.28,1.86,1.14,0.55,0.21,0.14,2.28,3.11,11.32,1.31,7.45,0.76,0.1
1.03,1.81,8.85,13.78,2.84,1.23,3.38,1.46,1.19,0.48,6.94,2.52,1.58,3.62,0.81,0.84,1.53,0.75,0.96,0.3,0.1,2,4.47,7.04,0.46,4.11,0.53,1.52
1.07,2.25,5.92,15.04,1.34,0.8,2.18,0.51,0.67,0.29,5.63,2.85,1.92,3.46,0.48,0.26,0.99,0.61,1.31,0.48,0.03,3.1,2.11,7.33,0.26,4.13,0.38,3.43
1.02,1,18.86,10.49,1.4,1.75,1.98,1.98,2.56,0.23,4.78,1.52,0.82,1.63,0.23,0.35,3.85,3.15,0.12,0,0,2.45,3.38,5.36,0.58,3.26,3.73,0
1.02,5.87,1,17.22,3.97,1.72,2.62,1.87,2.02,0.67,6.36,5.16,4.42,4.94,0.82,1.72,0.9,0.37,5.54,0.6,4.72,2.4,4.12,9.13,0.52,6.21,0.37,0.15
0.94,1,27.21,6.05,3.77,2.1,3.39,2.63,2.17,0.9,9.57,1.35,0.35,7.33,0.84,1.64,0.88,0.17,13.96,0.16,9.32,0.53,6.77,4.45,0.65,2.47,0.28,0.04
1.05,1,5.8,21.51,0.96,1.09,2.32,0.62,3.89,0.21,5.64,2.65,1.98,2.4,0.3,0.2,0.96,0.65,0.46,0.3,0.01,1.8,1.98,5.27,0.46,3.62,0.84,3.64
0.96,2.8,5.89,19.32,2.64,1.85,3.19,2.83,2.29,0.67,8.58,4.98,4.5,4.09,1.04,1.29,3.38,2.89,1.01,0.18,0.37,5.08,4.3,6.51,0.72,2.88,2.22,4.3
1.01,2.28,71.28,12.56,3.5,2.47,3.42,2.48,2.09,0.56,8.64,1.09,0.17,3.94,0.74,0.92,4.21,3.54,1.27,0.09,0.16,0.55,4.93,6.19,0.44,3.47,2.02,0.02
0.93,5.15,33.8,13.94,3.16,2.32,3.56,2.32,3.13,0.79,9.22,0.75,0.29,6.24,1.23,1.52,1.48,0.84,0.73,0.29,0.09,0.72,5.77,8.28,1.25,3.54,0.82,0.2
0.96,5.85,11.81,9.27,3.39,2.67,6.06,3.57,2.14,1.43,10.34,2.32,1.43,7.13,2.32,1.25,1.25,0.36,9.45,1.25,4.63,0.71,7.31,8.2,0.36,4.81,1.6,2.32
1,14.83,30.66,7.8,6.07,1.45,3.76,2.89,2.6,0.58,10.69,0.87,0.29,2.02,0.58,0,2.02,0,5.2,2.6,0,2.31,8.38,10.12,2.6,6.36,0,0
1.05,5.16,99,18.34,0.79,1.91,1.99,1.35,0.71,1.76,7.65,1.61,0.04,6.11,0.6,1.46,0.45,0.26,0.23,0.11,0.04,3.26,5.51,8.96,0.15,5.33,0.68,0
0.63,7.46,18.21,5.91,9,4.11,6.68,3.86,2.83,1.29,13.37,2.06,0.51,6.17,2.06,1.03,2.31,1.54,11.31,0.77,5.91,0,6.94,7.46,0.77,3.86,0,0
0.91,2.86,24.2,10.33,3.92,2.89,4.5,2.57,2.43,1.91,9.89,1.69,0.58,6.41,1.46,2.21,1.1,0.28,9.27,4.13,4.71,0.88,7.2,5.62,1.09,2.57,0.54,0.24
0.95,4.15,26.95,11.49,3.79,2.8,5.46,2.7,2.28,0.74,9.87,1.88,0.56,5.99,1.63,1.63,0.96,0.38,5.74,4.98,0.23,1.28,6.87,7.09,1.41,3.39,0.73,4.83
0.98,1,67.92,10.93,4.56,2.82,4.02,1.66,0.22,1.31,6.66,0.67,0.56,0.97,0.23,0.13,0.08,0.06,8.78,0,0.01,6.44,8.37,0.67,0.04,0.36,0.02,0
0.96,2.05,41.24,9.9,2.28,1.72,4.05,2.24,2.9,0.8,7.26,0.51,0.23,4.28,1.52,1.39,0.97,0.51,0.36,0.12,0.05,0.64,4.89,6.28,1,2.58,9.3,0.13
0.98,2.52,38.42,11.5,2.08,1.74,4.31,2.07,1.75,1.67,7.77,0.65,0.14,5.22,1.45,1.77,5.29,0.68,0.41,0.1,0.06,0.92,5.01,6.69,1.3,3.15,0.62,0.01
